#{"t_start": 1711607050.050625, "env_id": "None"}
r,l,t
349.182091,804,435.849695
330.515873,692,436.192589
428.313268,901,436.592641
364.28126,790,436.975925
301.507616,656,437.277003
279.466385,824,437.65637
254.240244,733,437.999727
326.78167,767,438.353877
283.161255,774,438.700059
376.079911,766,439.084615
282.806371,609,439.366313
332.504306,720,441.505079
379.359109,806,441.882998
271.548641,636,442.182915
317.394046,697,442.499772
309.622708,787,442.855379
375.315582,801,443.216465
370.448833,783,443.575823
336.919587,665,443.949991
347.805531,673,444.26014
320.027069,710,444.593492
345.495355,721,444.916186
374.042549,683,445.249707
290.419038,657,447.299506
346.844675,669,447.599797
284.573828,722,447.950151
334.159986,708,448.276031
296.232534,568,448.566357
393.235034,736,448.899746
278.491867,694,449.216345
349.243302,774,449.566129
291.365255,546,449.816228
336.878567,738,450.199752
401.023375,827,450.566334
315.045138,694,450.916754
268.570172,655,453.016307
319.332024,645,453.316129
239.243229,728,453.654013
315.409378,747,454.049603
304.023533,857,454.459489
319.858557,750,454.843389
389.419261,719,455.215321
280.409307,596,455.501117
346.244279,742,455.832917
298.748197,566,456.092135
318.711341,756,456.438734
286.695043,709,458.615906
334.033639,723,458.966171
350.066305,844,459.382589
258.814304,607,459.652884
301.443259,683,459.96687
424.059615,819,460.33264
284.817519,639,460.615933
361.047448,732,460.969368
317.61876,801,461.342114
300.402765,714,461.682544
329.096551,814,462.07901
304.771927,769,464.166452
382.289271,861,464.566054
366.453175,798,464.942474
354.180874,772,465.294126
306.400417,637,465.592737
254.804148,629,465.882458
335.424863,783,466.280787
296.562894,690,466.59197
341.188653,748,466.932669
273.388186,728,467.270621
329.982581,695,467.582632
322.348192,761,469.753466
323.042157,766,470.116051
386.882421,810,470.482596
292.729174,828,470.875912
330.957248,767,471.215746
359.474436,777,471.565689
341.22437,785,471.93255
340.11671,786,472.307832
423.469286,711,472.642149
312.89095,513,472.916193
363.813957,697,473.249229
395.890771,812,475.358938
306.860418,593,475.649033
378.473522,766,476.049159
393.105847,817,476.432465
320.169077,723,476.759475
395.152258,667,477.093022
278.92893,641,477.399186
366.633844,865,477.795188
391.899153,723,478.13619
381.752994,668,478.441947
338.478853,745,478.815577
323.190424,815,480.95763
357.991594,765,481.332268
285.718119,655,481.632156
314.181467,922,482.048837
306.357166,693,482.359194
279.056765,719,482.706412
263.569628,710,483.0423
303.697292,759,483.382171
321.260935,822,483.776247
393.057744,802,484.141769
283.729501,778,484.515442
312.508315,738,486.591399
328.945065,848,487.006799
250.921361,580,487.266024
330.913326,666,487.565921
336.415202,753,487.908171
366.50433,776,488.267052
281.837979,675,488.593191
365.260174,806,488.949098
378.558901,762,489.35269
300.97716,656,489.65186
324.388279,678,489.965591
262.91594,615,490.242346
245.055411,685,492.398676
341.069149,696,492.70918
310.279251,650,493.015305
383.582653,749,493.365328
344.680135,762,493.715352
